code,n,coverage,median_width
PUSSW,31,0.742,39.0
SUUT,175,0.886,21.0
PUSTS,36,0.944,20.5
SUPOL,37,0.919,19.0
SUO,219,0.918,18.0
SUEAS,37,0.946,18.0
SUAP,92,0.913,18.0
MUI,181,0.89,17.0
PUSIS,32,0.906,16.5
PUTIS,43,0.628,15.0
PUTWZ,101,0.901,15.0
MUIR,420,0.943,14.0
PUTO,78,0.962,14.0
SUDP,635,0.945,14.0
PUATC,35,1.0,14.0
EUO,48,0.958,12.5
MUO,116,0.914,12.0
PUTR,61,0.885,12.0
TUCC,38,0.895,11.5
TUS,41,1.0,10.0
EUBK,52,0.885,10.0
EUCD,33,0.879,10.0
MUDD,99,0.899,10.0
EUBO,32,0.969,9.5
PUSAC,42,0.81,9.0
MUWEA,97,0.897,9.0
TUO,240,0.929,9.0
TUMVS,78,0.859,9.0
EUDO,80,0.975,9.0
PUOPO,387,0.974,8.0
MUD,57,0.947,7.0
EUNT,68,0.985,7.0
TUATC,33,0.879,6.0
PUSRA,32,0.969,6.0
MUSAN,262,0.943,5.0
TUOS,47,0.979,5.0
MUTO,97,0.959,5.0
EUSC,31,0.968,4.0
SUG,51,0.961,4.0
MUPAA,446,0.955,4.0
TUNIP,59,0.949,4.0
TUSC,43,0.907,4.0
TUNOA,30,0.967,3.5
MUSC,41,0.927,3.0
